	0
GO:0032783	16
GO:0097409	1
GO:0097413	8
GO:0097414	1
GO:0097462	1
GO:1990037	3
GO:1990038	1
GO:0044222	10
GO:0005845	18
GO:0032797	18
GO:0034518	29
GO:0034719	26
GO:0098686	51
GO:1902737	4
GO:1990812	5
GO:0098837	10
GO:0098845	18
GO:0098895	6
GO:0098944	3
GO:0098949	2
GO:0098951	2
GO:0099025	10
GO:0099030	6
GO:0099031	6
GO:0099033	2
GO:0099034	2
GO:0005637	81
GO:0005639	18
GO:0031229	18
GO:0030678	8
GO:0070939	6
GO:0005968	16
GO:0001400	7
GO:1990075	17
GO:0035323	10
GO:0000326	17
GO:0005663	10
GO:0019031	22
GO:0036338	23
GO:1990816	14
GO:0002177	16
GO:0070916	2
GO:0008074	11
GO:0000421	46
GO:0071513	3
GO:1990143	6
GO:0031522	6
GO:0005621	11
GO:0090651	6
GO:0036021	5
GO:0009319	4
GO:0032593	13
GO:0031164	30
GO:0000144	18
GO:0000399	29
GO:0005619	20
GO:0031160	53
GO:0032160	5
GO:0030127	32
GO:0030992	51
GO:0071005	50
GO:0071011	50
GO:0032473	8
GO:0097487	4
GO:0099400	1
GO:0098527	3
GO:0098024	12
GO:0098536	9
GO:0031934	30
GO:0044164	38
GO:1990452	3
GO:0032178	6
GO:0071341	16
GO:0032221	14
GO:0033698	21
GO:0035649	7
GO:0070775	32
GO:0070776	13
GO:0042583	21
GO:0031501	27
GO:0033185	7
GO:0010287	75
GO:0031235	20
GO:0098753	6
GO:0019197	1
GO:0098026	8
GO:0005666	39
GO:0005736	35
GO:0097179	16
GO:1904090	16
GO:0031303	8
GO:0043245	11
GO:0000418	14
GO:0009328	7
GO:0033061	15
GO:0031209	43
GO:0005948	4
GO:1990111	5
GO:0033281	13
GO:0030015	17
GO:0044308	9
GO:0098871	16
GO:0099571	29
GO:0001772	58
GO:0001931	17
GO:0031254	34
GO:0060473	19
GO:0045272	13
GO:0070470	22
GO:0032045	33
GO:0097440	30
GO:0097441	12
GO:0097450	10
GO:0097451	3
GO:1990030	3
GO:0034099	3
GO:0070724	12
GO:0110115	3
GO:1990425	3
GO:0031523	18
GO:0035189	10
GO:0017122	11
GO:0033597	9
GO:0098025	23
GO:0014701	13
GO:0097539	24
GO:0070032	5
GO:0070033	4
GO:0070044	8
GO:0032280	12
GO:0005962	5
GO:0045242	5
GO:0000145	50
GO:0005697	55
GO:0031597	43
GO:0034515	25
GO:0060198	14
GO:0060199	4
GO:0060203	4
GO:0061200	10
GO:0061202	10
GO:0070081	5
GO:0070083	5
GO:0005691	1
GO:0071002	1
GO:0000328	21
GO:0060417	21
GO:0045160	6
GO:0033018	8
GO:0070701	4
GO:0070702	1
GO:0070703	1
GO:0044216	17
GO:0044217	17
GO:0106139	9
GO:0043219	7
GO:0036396	24
GO:0009379	2
GO:0048476	13
GO:0070765	22
GO:0005835	6
GO:0044545	25
GO:0071141	24
GO:0000306	18
GO:0034045	18
GO:0097629	3
GO:0097632	4
GO:0097635	4
GO:1903349	4
GO:0042807	6
GO:0034674	3
GO:0071062	3
GO:0031464	12
GO:0031465	11
GO:0080008	58
GO:0035974	39
GO:0110092	9
GO:1903754	7
