	0
GO:0071044	20
GO:1902369	155
GO:2000625	7
GO:2000626	1
GO:2000628	21
GO:2000629	2
GO:0009723	183
GO:0032881	159
GO:2000904	21
GO:0010927	908
GO:0030239	492
GO:0030832	484
GO:0032535	1319
GO:0032989	3260
GO:0045214	271
GO:0070925	2487
GO:0090066	1707
GO:0015031	2565
GO:0015833	2729
GO:0031503	646
GO:0034613	3658
GO:0035418	127
GO:0042886	2833
GO:0045184	2805
GO:0048167	497
GO:0050806	435
GO:0060291	211
GO:0062237	63
GO:0070727	3833
GO:0072657	996
GO:0090150	532
GO:0097120	60
GO:0098876	160
GO:0098877	29
GO:0098967	9
GO:0098969	26
GO:0099003	295
GO:0099072	70
GO:0099637	45
GO:1902414	181
GO:1903539	58
GO:1903540	28
GO:1990778	472
GO:0006886	1925
GO:0010984	40
GO:0010986	13
GO:0015850	402
GO:0015918	143
GO:0017038	433
GO:0030301	107
GO:0031647	550
GO:0034394	55
GO:0042632	183
GO:0045056	29
GO:0050821	319
GO:0051004	30
GO:0051006	12
GO:0055090	132
GO:0055092	189
GO:0060191	138
GO:0060193	98
GO:0061365	15
GO:0070328	128
GO:0090318	1
GO:0090319	1
GO:0090320	2
GO:0090321	1
GO:0008064	470
GO:0030833	431
GO:0032271	556
GO:0043254	967
GO:0110053	627
GO:1902903	928
GO:0001666	925
GO:0036293	1006
GO:0036294	440
GO:0070482	1145
GO:0071453	482
GO:0071456	388
GO:0018884	7
GO:0042178	78
GO:0046232	7
GO:0001505	574
GO:0006836	291
GO:0007269	219
GO:0016079	114
GO:0023061	427
GO:0099504	266
GO:0099643	219
GO:0006412	1419
GO:0006518	1936
GO:0043043	1611
GO:0043603	2755
GO:0043604	2026
GO:0006605	770
GO:0006626	174
GO:0006627	12
GO:0006839	459
GO:0007005	1156
GO:0033365	1859
GO:0034982	26
GO:0070585	215
GO:0072594	1056
GO:0072655	206
GO:0006892	244
GO:0006893	96
GO:0006897	1068
GO:0006898	435
GO:0031623	95
GO:0043001	57
GO:0043112	192
GO:0048193	728
GO:0061951	108
GO:0072659	329
GO:0090382	110
GO:0002684	1963
GO:1901532	187
GO:1901534	34
GO:1902036	151
GO:1902038	18
GO:1903706	832
GO:1903708	335
GO:2000736	278
GO:2000738	58
GO:0060341	2179
GO:2000197	17
GO:0020033	274
GO:0042783	346
GO:0006103	41
GO:0006520	1566
GO:0006536	94
GO:0006570	77
GO:0006572	21
GO:0009063	440
GO:0009064	278
GO:0009072	323
GO:0009074	103
GO:0043648	393
GO:1901605	1156
GO:1901606	375
GO:0001541	115
GO:0001547	17
GO:0001550	11
GO:0007548	972
GO:0008406	651
GO:0008585	224
GO:0022602	89
GO:0022605	16
GO:0042698	138
GO:0045137	658
GO:0046545	230
GO:0046660	303
GO:0048165	11
GO:0048511	858
GO:0001101	894
GO:0001890	230
GO:0001894	548
GO:0002237	928
GO:0003013	991
GO:0003018	366
GO:0006970	1204
GO:0006972	317
GO:0007417	3636
GO:0007420	2639
GO:0007584	527
GO:0007586	220
GO:0007589	125
GO:0007595	75
GO:0007623	711
GO:0008643	321
GO:0009617	2977
GO:0009651	732
GO:0010038	1637
GO:0010046	14
GO:0010232	54
GO:0014072	66
GO:0015695	170
GO:0015893	37
GO:0022600	179
GO:0030856	358
GO:0030858	186
GO:0030879	200
GO:0031960	417
GO:0032496	743
GO:0033189	50
GO:0033231	6
GO:0033273	239
GO:0033280	70
GO:0033762	50
GO:0034612	371
GO:0035633	30
GO:0036146	6
GO:0042493	1405
GO:0042538	170
GO:0042908	112
GO:0043200	394
GO:0043215	3
GO:0043278	63
GO:0043279	259
GO:0046677	287
GO:0046686	529
GO:0048732	1657
GO:0048871	773
GO:0050878	884
GO:0050892	53
GO:0051384	361
GO:0060249	1161
GO:0060548	2114
GO:0060856	55
GO:0062197	1121
GO:0071214	1182
GO:0071216	522
GO:0071217	9
GO:0071219	462
GO:0071222	419
GO:0071229	323
GO:0071230	244
GO:0071236	69
GO:0071312	66
GO:0071356	334
GO:0071383	310
GO:0071384	156
GO:0071385	145
GO:0071392	76
GO:0071396	1360
GO:0071470	275
GO:0071472	103
GO:0071474	70
GO:0071475	38
GO:0071496	1716
GO:0071548	122
GO:0071549	81
GO:0097066	64
GO:0097068	13
GO:0097327	12
GO:0104004	1182
GO:0140115	151
GO:0150104	32
GO:0150105	37
GO:1901264	296
GO:1901654	681
GO:1901655	309
GO:1901656	21
GO:1902065	31
GO:1902396	10
GO:1903416	13
GO:1904386	15
GO:1904444	5
GO:1904446	4
GO:1905230	3
GO:1905231	3
GO:1905232	14
GO:1905233	3
GO:1905235	3
GO:1905237	4
GO:1905395	18
GO:1905939	61
GO:1905941	43
GO:1990961	53
GO:1990962	9
GO:1990963	5
GO:2000018	24
GO:2000020	17
GO:2000243	673
GO:2001023	28
GO:2001025	8
GO:0000902	3590
GO:0000904	2978
GO:0009826	469
GO:0009932	157
GO:0010015	307
GO:0010053	138
GO:0010054	123
GO:0016049	1135
GO:0022622	555
GO:0048364	553
GO:0048469	814
GO:0048588	694
GO:0048764	120
GO:0048765	120
GO:0048767	69
GO:0048768	22
GO:0060560	1192
GO:0071695	999
GO:0080147	97
GO:0090558	472
GO:0090627	162
GO:0099402	1119
GO:1905392	457
GO:0009266	1715
GO:0009409	659
GO:0009896	939
GO:0050994	132
GO:0050996	67
GO:0007423	3219
GO:0032474	46
GO:0032475	11
GO:0035889	7
GO:0042471	358
GO:0042472	334
GO:0043583	749
GO:0048562	1450
GO:0048839	715
GO:0048840	128
GO:0090596	1633
GO:0009615	770
GO:0019221	777
GO:0034340	117
GO:0045087	1136
GO:0051607	472
GO:0060337	89
GO:0071357	104
GO:0007498	610
GO:0006091	1287
GO:0006098	63
GO:0006739	120
GO:0006740	77
GO:0009052	15
GO:0051156	82
GO:0001763	478
GO:0003399	4
GO:0007424	489
GO:0007427	57
GO:0007430	34
GO:0030030	4402
GO:0030031	1363
GO:0032990	2408
GO:0035215	99
GO:0035231	4
GO:0046847	94
GO:0048754	375
GO:0048858	2344
GO:0060446	130
GO:0060541	877
GO:0061138	414
GO:0120031	1246
GO:0120036	4269
GO:0120039	2329
GO:0007214	54
GO:0040012	2451
GO:0043058	18
GO:0006360	120
GO:0006361	48
GO:0006323	596
GO:0006333	465
GO:0031497	393
GO:0071103	780
GO:0000160	134
GO:0009411	484
GO:0010225	54
GO:0010522	192
GO:0010524	83
GO:0010959	824
GO:0030435	343
GO:0030587	402
GO:0031154	129
GO:0031272	31
GO:0031273	10
GO:0031275	12
GO:0031276	9
GO:0031288	76
GO:0032103	1265
GO:0034764	432
GO:0034765	820
GO:0034767	352
GO:0040017	1261
GO:0043269	1334
GO:0043270	578
GO:0043934	439
GO:0048837	29
GO:0050920	558
GO:0050921	307
GO:0050926	59
GO:0050927	49
GO:0051279	145
GO:0051281	57
GO:0051282	218
GO:0051924	452
GO:0051928	184
GO:0060491	475
GO:0061118	13
GO:0061119	3
GO:0061121	3
GO:0061122	6
GO:0061124	3
GO:0061128	3
GO:0090702	402
GO:0099120	402
GO:0120032	460
GO:0120033	65
GO:1903169	274
GO:1903827	1031
GO:1904062	712
GO:1904064	319
GO:1904375	213
GO:1904427	113
GO:1904776	26
GO:0044550	637
GO:1900378	66
GO:1900394	2
GO:1900396	1
GO:0002791	633
GO:0002793	332
GO:0050708	538
GO:0050714	267
GO:0051222	537
GO:0051223	1022
GO:0061356	25
GO:0061357	21
GO:0070201	1065
GO:0090087	1130
GO:1904951	557
GO:0006623	168
GO:0007034	452
GO:0071985	109
GO:0072665	232
GO:0072666	195
GO:0006513	111
GO:0009965	90
GO:0010016	172
GO:0010162	35
GO:0010390	49
GO:0010431	77
GO:0016574	87
GO:0022611	85
GO:0033523	22
GO:0048366	345
GO:0048367	799
GO:0048827	544
GO:0007163	1122
GO:0007231	45
GO:0034599	809
GO:0042742	1685
GO:0050829	690
GO:0050830	560
GO:0002250	363
GO:0002253	757
GO:0002449	297
GO:0002455	165
GO:0002460	313
GO:0006956	232
GO:0006958	152
GO:0006959	567
GO:0016064	218
GO:0019724	226
