	0
GO:0005295	7
GO:0005343	68
GO:0005416	44
GO:0015175	130
GO:0004774	15
GO:0004775	12
GO:0016877	234
GO:0016878	169
GO:0030274	17
GO:0042805	66
GO:0051219	146
GO:0051393	47
GO:0106158	1
GO:0030506	40
GO:0016880	43
GO:0003730	456
GO:0008494	20
GO:0004620	339
GO:0004630	38
GO:0016298	478
GO:0008515	23
GO:0015154	40
GO:0015157	45
GO:1905201	2
GO:0030292	6
GO:0016251	94
GO:0003993	46
GO:0005007	28
GO:0017134	48
GO:0005372	129
GO:0005412	8
GO:0015151	7
GO:0042947	13
GO:0055056	23
GO:1901505	210
GO:0015112	29
GO:0036132	6
GO:0036185	1
GO:0097257	2
GO:0004180	102
GO:0004181	39
GO:0015095	29
GO:0035197	36
GO:0061980	129
GO:0019200	171
GO:0030492	10
GO:0031720	2
GO:0008190	33
GO:0031369	107
GO:0022840	12
GO:0022842	12
GO:0005338	56
GO:0005457	8
GO:0005459	25
GO:0005460	11
GO:0015165	41
GO:0036080	15
GO:0003697	351
GO:0042162	142
GO:0043047	45
GO:0098505	12
GO:0098847	50
GO:0033781	2
GO:0043130	155
GO:0019862	9
GO:0019865	72
GO:0031210	43
GO:0034987	23
GO:0042834	50
GO:0050997	45
GO:0004629	72
GO:0050429	4
GO:0005174	4
GO:0032813	58
GO:0061608	31
GO:0140142	51
GO:0015199	17
GO:0015418	9
GO:0015651	47
GO:0031459	7
GO:0072349	78
GO:0106144	1
GO:0016215	40
GO:0016717	76
GO:0017105	2
GO:0005384	38
GO:0015410	8
GO:0019789	69
GO:0061665	23
GO:0002046	11
GO:0005502	11
GO:0008020	26
GO:0016918	27
GO:1990763	13
GO:0004995	13
GO:0008188	131
GO:0004594	21
GO:0051011	19
GO:0070097	13
GO:0008926	3
GO:0008429	19
GO:0008525	50
GO:0017089	5
GO:0019992	13
GO:0030169	23
GO:0034189	4
GO:0046624	21
GO:0070300	64
GO:0097001	24
GO:0120014	54
GO:0120016	10
GO:0120017	7
GO:0120019	12
GO:0140337	1
GO:0140338	4
GO:0140339	1
GO:0140340	1
GO:1901611	27
GO:1904121	7
GO:1990050	7
GO:0001671	64
GO:0060590	106
GO:0001000	7
GO:0015929	82
GO:0070678	7
GO:0008553	26
GO:0009678	97
GO:0004198	34
GO:0031432	17
GO:0055103	1
GO:0004062	13
GO:0047894	3
GO:0050294	7
GO:0050656	9
GO:0004448	37
GO:0004450	17
GO:0005176	35
GO:0045499	49
GO:0042287	57
GO:0042289	15
GO:0050998	28
GO:0004749	15
GO:0016778	32
GO:0035035	42
GO:0003755	107
GO:0016018	32
GO:0004311	40
GO:0004605	17
GO:0033946	10
GO:0052736	12
GO:0004143	43
GO:0032093	9
GO:0036002	69
GO:0003916	69
GO:0003918	37
GO:0035198	78
GO:0008432	18
GO:0050681	35
GO:0016672	25
GO:0050660	226
GO:0070224	2
GO:0071949	107
GO:0015232	23
GO:0004520	162
GO:0004536	243
GO:0030145	229
GO:0048256	32
GO:0016708	20
GO:0008527	75
GO:0005432	46
GO:0015368	63
GO:0001884	2
GO:0004126	23
GO:0016814	143
GO:0019239	123
GO:0047844	9
GO:0005201	87
GO:0003906	41
GO:0016888	42
GO:0016893	181
GO:0052720	3
GO:0005251	38
GO:0015271	42
GO:0016615	54
GO:0030060	17
GO:0004064	11
GO:0018733	1
GO:0003952	3
GO:0016884	46
GO:0005243	63
GO:0022829	102
GO:0004133	23
GO:0004134	8
GO:0034246	6
GO:0004555	19
GO:0015927	24
GO:0043425	65
GO:0004744	4
GO:0050659	2
GO:0030276	118
GO:0032051	4
GO:0005214	18
GO:0008010	10
GO:0008011	5
GO:0008061	51
GO:0042302	25
GO:0051371	23
GO:0036397	7
GO:0052738	8
GO:0042974	44
GO:0046965	34
GO:0050200	2
GO:0071617	54
GO:0071618	3
GO:0001046	151
GO:0001164	12
GO:0004993	47
GO:0099589	47
GO:0004657	16
GO:0005092	39
GO:0031753	2
GO:0031755	2
GO:0047696	6
GO:0003896	27
GO:0003899	115
GO:0043139	23
GO:0050085	6
GO:0070615	11
GO:0035515	10
GO:1990931	4
GO:0005499	9
GO:1902118	1
GO:1902271	6
GO:0004505	11
GO:0016714	29
GO:0005003	25
GO:0005005	11
GO:0046555	9
GO:0010296	1
GO:0051723	5
GO:0018633	1
GO:0050840	107
GO:0004642	7
GO:0001221	112
GO:0001222	42
GO:0001224	38
GO:0001226	24
GO:0000297	4
GO:0015203	36
GO:0000979	44
GO:0001223	57
GO:0001225	15
GO:0033613	157
GO:0042301	27
GO:0030247	139
GO:2001066	3
GO:2001070	12
GO:0019841	26
GO:0043178	168
GO:0050700	15
GO:0042610	4
GO:0004346	13
GO:0019203	101
GO:0050308	63
GO:0050309	13
GO:0019172	11
GO:0004573	4
GO:0000182	37
GO:0000992	21
GO:0001002	10
GO:0001003	11
GO:0001016	23
GO:0008301	72
GO:0080084	11
GO:0004783	3
GO:0016668	92
GO:0070273	88
GO:0051536	219
GO:0051537	80
GO:0051540	220
GO:0005113	13
GO:0015026	66
GO:0004301	21
GO:0016801	41
GO:0016803	33
GO:0033961	2
GO:0015169	6
GO:0015605	104
GO:0003724	109
GO:0005112	56
GO:0005138	9
GO:1902945	5
GO:0043394	85
GO:0043395	50
GO:0030552	40
GO:0004864	72
GO:0019208	172
GO:0019212	83
GO:0019888	155
GO:0004478	14
GO:0001565	7
GO:0004022	55
GO:0016899	35
GO:0018455	59
GO:0047639	1
GO:0003872	31
GO:0008443	45
GO:0016208	33
GO:0070095	8
GO:0008982	6
GO:0015578	21
GO:0022870	3
GO:0005545	23
GO:0016881	128
GO:0070739	16
GO:0070740	13
GO:0009899	5
GO:0050076	1
GO:0004985	22
GO:0038046	9
GO:0003988	31
GO:0016408	70
GO:0019107	22
GO:0050633	2
GO:0005200	165
GO:0004694	19
GO:0071074	8
GO:0031386	24
GO:0004439	35
GO:0016314	16
GO:0034593	64
GO:0034594	35
GO:0034595	49
GO:0052866	107
GO:0106019	38
GO:0030507	45
GO:0015925	64
GO:0033929	1
GO:0004745	46
GO:0050038	6
GO:0004709	54
GO:0004081	8
GO:0004551	37
GO:0008796	12
GO:0008893	8
GO:0016794	8
GO:0016762	12
GO:0046527	251
GO:0005212	34
GO:0004708	61
GO:0004712	94
GO:0015464	82
GO:0016289	69
GO:0016290	22
GO:0016790	118
GO:0047617	52
GO:0052816	3
GO:0046522	2
GO:0034202	3
GO:0140326	50
GO:0140328	19
GO:0004145	15
GO:0016707	6
GO:0061631	63
GO:0061650	73
GO:0070051	23
GO:0089720	27
GO:0042329	6
GO:0005031	16
GO:0005035	22
GO:0043120	7
GO:0045551	16
GO:0003978	21
GO:0050373	4
GO:0016163	3
GO:0016730	24
GO:0016732	3
GO:0004733	10
GO:0016638	143
GO:0016641	77
GO:0052856	4
GO:0052857	3
GO:0003913	18
GO:0003914	7
GO:0016830	431
GO:0000248	6
GO:0070704	10
GO:0004067	15
GO:0001042	5
GO:0004638	5
GO:0016831	243
GO:0004767	20
GO:0004825	14
GO:0031216	1
GO:0042608	19
GO:0070883	27
GO:0004953	58
GO:0004954	47
GO:0004955	42
GO:0004958	6
GO:0061860	7
GO:0002161	42
GO:0043906	5
GO:0140082	2
GO:0032934	105
GO:0004529	85
GO:0008296	44
GO:0008297	33
GO:0008310	22
GO:0008408	192
GO:0016796	200
GO:0016895	81
GO:0030337	14
GO:0031491	88
GO:0031492	17
GO:0004308	30
GO:0016997	31
GO:0000140	2
GO:0004806	90
GO:0002094	14
GO:0005546	146
GO:0010314	50
GO:0032266	107
GO:0043325	45
GO:0080025	65
GO:1902936	218
GO:0008378	117
GO:0008499	10
GO:0035250	61
GO:0048531	23
GO:0004517	21
GO:0008603	29
GO:0008482	4
GO:0016670	32
GO:0015205	61
GO:0004610	5
GO:0016868	70
GO:0032500	5
GO:0030215	25
GO:0003688	63
GO:0017116	53
GO:1904931	5
GO:0015369	17
GO:0004425	4
GO:0098631	53
GO:0004531	8
GO:0016889	39
GO:0004746	6
GO:1902444	6
GO:0005484	64
GO:0001786	95
GO:0072341	190
GO:0004035	28
GO:0106219	2
GO:0008107	7
GO:0031127	12
GO:0004438	26
GO:0008138	47
GO:0052629	9
GO:0052744	29
GO:0106018	19
GO:0050436	7
GO:0004690	39
GO:0004691	26
GO:0008933	17
GO:0061783	105
GO:0019237	39
GO:0042577	35
GO:0032452	78
GO:0140457	78
GO:0000995	18
GO:0004128	12
GO:0003999	11
GO:0106130	26
GO:0034713	16
GO:0050431	40
GO:0008131	19
GO:0005068	19
GO:0030159	48
GO:0030971	99
GO:0004089	78
GO:0005345	42
GO:0015208	5
GO:0016907	29
GO:0099528	32
GO:0005165	18
GO:0005166	7
GO:0043236	60
GO:0004706	8
GO:0031434	28
GO:0051019	51
GO:0047372	40
GO:0015485	75
GO:0008810	30
GO:0004423	5
GO:0008484	51
GO:0003785	61
GO:0031726	7
GO:0031730	12
GO:0005220	11
GO:0052621	25
GO:0050196	3
GO:0047274	2
GO:0008175	103
GO:0016427	30
GO:0052735	5
GO:0008886	4
GO:0016620	250
GO:0008113	13
GO:0016671	69
GO:0047949	1
GO:0008073	11
GO:0042979	15
GO:0008927	24
GO:0004865	20
GO:0019211	26
GO:0072542	22
GO:0004867	188
GO:0001594	15
GO:0004190	79
GO:0070001	81
GO:0004784	59
GO:0016721	60
GO:0004645	26
GO:0080048	4
GO:0042132	22
GO:0004415	18
GO:0004049	18
GO:0016833	76
GO:0043024	36
GO:0003977	12
GO:0019134	3
GO:0050236	2
GO:0050661	162
GO:0070402	63
GO:0000014	34
GO:1990599	6
GO:0008574	39
GO:1990939	62
GO:0015643	24
GO:0005518	124
GO:0070052	5
GO:0038191	45
GO:0004419	6
GO:0070401	29
GO:0000026	24
GO:0055100	5
GO:0005458	11
GO:0005461	6
GO:0005462	12
GO:0005464	8
GO:0008200	104
GO:0015459	113
GO:0016248	106
GO:0019870	36
GO:0004526	50
GO:0004549	62
GO:0016891	142
GO:0033204	14
GO:0019855	28
GO:0031014	7
GO:0048306	93
GO:0097493	9
GO:0015250	94
GO:0097351	18
GO:0004383	49
GO:0008109	4
GO:0008375	131
GO:0035673	73
GO:0071916	40
GO:0000175	101
GO:0004532	144
GO:0004654	5
GO:0016896	126
GO:0005290	18
GO:0015173	42
GO:0015186	19
GO:0015187	28
GO:0015194	13
GO:0022889	20
GO:1901474	43
GO:0016530	30
GO:0016531	22
GO:0030548	36
GO:0033691	32
GO:0035374	13
GO:0043237	10
GO:0099602	36
GO:0004435	40
GO:0016493	20
GO:0019956	74
GO:0019957	25
GO:0071791	2
GO:0008934	13
GO:0052745	67
GO:0052834	19
GO:0032794	55
GO:0071532	9
GO:0005219	20
GO:0003995	31
GO:0004466	7
GO:0017099	3
GO:0031404	19
GO:0034701	8
GO:0045148	6
GO:0038187	45
GO:0016166	8
GO:0004382	19
GO:0017110	47
GO:0045134	17
GO:0005521	27
GO:0030628	6
GO:1990715	8
GO:1990829	4
GO:0016175	23
GO:0050664	49
GO:0003839	6
GO:0016840	110
GO:0016842	34
GO:0032453	24
GO:0004719	9
GO:0008171	131
GO:0010340	24
GO:0051998	21
GO:0003747	21
GO:0008079	23
GO:0016150	2
GO:0008932	7
GO:0047931	1
GO:0004476	11
GO:0016860	229
GO:0016861	83
GO:0044183	60
GO:0017150	8
GO:0047044	14
GO:0017096	9
GO:0097677	26
GO:0035615	46
GO:0140312	62
GO:0004131	5
GO:0035888	1
GO:0008519	41
GO:0009927	17
GO:0000217	105
GO:0000403	17
GO:0036310	11
GO:0097617	36
GO:0003917	26
GO:0005119	5
GO:0140311	16
GO:0140313	20
GO:0008123	3
GO:0017147	72
GO:0042813	39
GO:0071936	6
GO:1904929	3
GO:0034237	35
GO:0045735	26
GO:0001102	85
GO:0003796	49
GO:0016679	96
GO:0016682	66
GO:0000384	14
GO:0019144	6
GO:0000171	20
GO:0042030	25
GO:0004998	8
GO:0035715	1
GO:0035716	1
GO:0035717	2
GO:0033744	6
GO:0036456	2
GO:0004791	28
GO:0004088	17
GO:0004123	9
GO:0016846	100
GO:0005537	68
