	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
86	GO:0000779	GO:0000775,GO:0000779,GO:0000793,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0110165	240	277.0	240.0	0.8664259927797834	82350	0.0029143897996357013
87	GO:0000780	GO:0000228,GO:0000775,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0098687,GO:0110165	134	142.0	134.0	0.943661971830986	82350	0.0016272009714632665
88	GO:0000781	GO:0000781,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0110165	279	1081.0	279.0	0.25809435707678074	82350	0.0033879781420765027
89	GO:0000782	GO:0000781,GO:0000782,GO:0005575,GO:0005622,GO:0005694,GO:0032991,GO:0032993,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0110165,GO:0140445	44	49.0	44.0	0.8979591836734694	82350	0.0005343047965998786
90	GO:0000783	GO:0000781,GO:0000782,GO:0000783,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0032991,GO:0032993,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0098687,GO:0110165,GO:0140445	37	39.0	37.0	0.9487179487179488	82350	0.00044930176077717063
91	GO:0000785	GO:0000785,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	1833	3715.0	1833.0	0.4934051144010767	82350	0.022258652094717668
92	GO:0000786	GO:0000785,GO:0000786,GO:0005575,GO:0005622,GO:0005694,GO:0032991,GO:0032993,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044815,GO:0110165	67	67.0	67.0	1.0	82350	0.0008136004857316332
93	GO:0000790	GO:0000228,GO:0000785,GO:0000790,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	448	544.0	448.0	0.8235294117647058	82350	0.005440194292653309
94	GO:0000791	GO:0000785,GO:0000791,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	109	1833.0	109.0	0.05946535733769776	82350	0.001323618700667881
95	GO:0000792	GO:0000785,GO:0000792,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	331	1833.0	331.0	0.18057828696126568	82350	0.0040194292653309045
96	GO:0000793	GO:0000793,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	642	3715.0	642.0	0.1728129205921938	82350	0.007795992714025501
97	GO:0000794	GO:0000228,GO:0000793,GO:0000794,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	369	378.0	369.0	0.9761904761904762	82350	0.004480874316939891
98	GO:0000795	GO:0000228,GO:0000793,GO:0000794,GO:0000795,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0099086,GO:0110165	92	100.0	92.0	0.92	82350	0.0011171827565270187
99	GO:0000796	GO:0000793,GO:0000796,GO:0005575,GO:0005622,GO:0005694,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044815,GO:0110165	39	44.0	39.0	0.8863636363636364	82350	0.00047358834244080146
